sample	n_reads	population	group
JB021108_12.1_92bp	4944510	JinhaeBay08	Korea
JB021108_13.1_92bp	2579086	JinhaeBay08	Korea
JB021108_14_92bp	873350	JinhaeBay08	Korea
JB021108_16_92bp	3108991	JinhaeBay08	Korea
JB021108_17.1_92bp	2425901	JinhaeBay08	Korea
JB021108_19.1_92bp	6267465	JinhaeBay08	Korea
JB021108_20_92bp	1053046	JinhaeBay08	Korea
JB021108_22.1_92bp	3244823	JinhaeBay08	Korea
JB021108_25.1_92bp	1081054	JinhaeBay08	Korea
JB021108_26.1_92bp	2900671	JinhaeBay08	Korea
JB021108_28_92bp	789949	JinhaeBay08	Korea
JB021108_29_92bp	1814690	JinhaeBay08	Korea
JB021108_30_92bp	5002275	JinhaeBay08	Korea
JB021108_31.1_92bp	949374	JinhaeBay08	Korea
JB021108_32_92bp	7666082	JinhaeBay08	Korea
JB021108_33_92bp	525803	JinhaeBay08	Korea
JB021108_34_92bp	2553725	JinhaeBay08	Korea
JB021108_35_92bp	910556	JinhaeBay08	Korea
JB021108_35_rep_92bp	986962	JinhaeBay08	Korea
JB021108_36.1_92bp	3564362	JinhaeBay08	Korea
JB021108_36_rep.1_92bp	3473439	JinhaeBay08	Korea
JB021108_37.1_92bp	3874496	JinhaeBay08	Korea
JB021108_37_rep.1_92bp	3852296	JinhaeBay08	Korea
JB021108_38.1_92bp	1459670	JinhaeBay08	Korea
JB021108_39_92bp	2476612	JinhaeBay08	Korea
JB021108_40_92bp	427207	JinhaeBay08	Korea
JB021108_41.1_92bp	2899441	JinhaeBay08	Korea
JB021108_44.1_92bp	3562001	JinhaeBay08	Korea
JB021108_45_92bp	7512937	JinhaeBay08	Korea
JB021108_46.1_92bp	5675208	JinhaeBay08	Korea
JB021108_46_rep.1_92bp	3527876	JinhaeBay08	Korea
JB021108_47.1_92bp	3923619	JinhaeBay08	Korea
JB021108_48.1_92bp	7101400	JinhaeBay08	Korea
JB021108_21_c_92bp	933670	JinhaeBay08	Korea
JB021108_27_c_92bp	116893	JinhaeBay08	Korea
JB021108_24_c_92bp	2981537	JinhaeBay08	Korea
JB021108_33_rep_92bp	7652833	JinhaeBay08	Korea
JB021108_11_2_92bp	1922970	JinhaeBay08	Korea
JB021108_28_2_92bp	746368	JinhaeBay08	Korea
JB021108_40_2_92bp	1167827	JinhaeBay08	Korea
JB021108_14_2_92bp	2035030	JinhaeBay08	Korea
JB021108_25_2_92bp	1555987	JinhaeBay08	Korea
JB021108_31_2_92bp	2674493	JinhaeBay08	Korea
JB021108_23_92bp	1216964	JinhaeBay08	Korea
JB021108_11_rep_92bp	642350	JinhaeBay08	Korea
BOR07_01_92bp	1717981	Boryeong07	Korea
BOR07_02.1_92bp	4096017	Boryeong07	Korea
BOR07_03_92bp	2968140	Boryeong07	Korea
BOR07_04_92bp	5993580	Boryeong07	Korea
BOR07_05.1_92bp	8659570	Boryeong07	Korea
BOR07_06.1_92bp	4078253	Boryeong07	Korea
BOR07_07.1_92bp	6259115	Boryeong07	Korea
BOR07_08.1_92bp	9296113	Boryeong07	Korea
BOR07_09_92bp	5769259	Boryeong07	Korea
BOR07_10.1_92bp	4774298	Boryeong07	Korea
BOR07_11.1_92bp	6057266	Boryeong07	Korea
BOR07_12.1_92bp	3962949	Boryeong07	Korea
BOR07_13.1_92bp	4475682	Boryeong07	Korea
BOR07_14_92bp	10735145	Boryeong07	Korea
BOR07_15_92bp	7761056	Boryeong07	Korea
BOR07_16_92bp	3692985	Boryeong07	Korea
BOR07_17.1_92bp	3287279	Boryeong07	Korea
BOR07_18_92bp	7110518	Boryeong07	Korea
BOR07_19.1_92bp	5149426	Boryeong07	Korea
BOR07_20.1_92bp	7747504	Boryeong07	Korea
BOR07_21.1_92bp	3280358	Boryeong07	Korea
BOR07_22_92bp	6685657	Boryeong07	Korea
BOR07_01_2_92bp	3986942	Boryeong07	Korea
BOR07_21_2_92bp	4331290	Boryeong07	Korea
GEO020414_10_92bp	1962002	Geoje14	Korea
GEO020414_11_92bp	5803141	Geoje14	Korea
GEO020414_11_300_92bp	4659273	Geoje14	Korea
GEO020414_13_92bp	1114	Geoje14	Korea
GEO020414_13_300_92bp	3172787	Geoje14	Korea
GEO020414_14_92bp	4039842	Geoje14	Korea
GEO020414_14_300_92bp	3494966	Geoje14	Korea
GEO020414_15_92bp	2336383	Geoje14	Korea
GEO020414_15_300_92bp	2039080	Geoje14	Korea
GEO020414_16_92bp	4033436	Geoje14	Korea
GEO020414_16_300_92bp	3618428	Geoje14	Korea
GEO020414_17_92bp	3864586	Geoje14	Korea
GEO020414_17_300_92bp	3057343	Geoje14	Korea
GEO020414_2_92bp	4056569	Geoje14	Korea
GEO020414_23_92bp	7069859	Geoje14	Korea
GEO020414_23_300_92bp	6158191	Geoje14	Korea
GEO020414_24_92bp	4525205	Geoje14	Korea
GEO020414_24_300_92bp	3842521	Geoje14	Korea
GEO020414_25_92bp	3666663	Geoje14	Korea
GEO020414_25_300_92bp	2587646	Geoje14	Korea
GEO020414_26_92bp	3752341	Geoje14	Korea
GEO020414_27_92bp	4659426	Geoje14	Korea
GEO020414_29_92bp	3083761	Geoje14	Korea
GEO020414_3_92bp	4784237	Geoje14	Korea
GEO020414_30_92bp	1585848	Geoje14	Korea
GEO020414_4_92bp	5641450	Geoje14	Korea
GEO020414_5_92bp	4831675	Geoje14	Korea
GEO020414_6_92bp	3555024	Geoje14	Korea
GEO020414_7_92bp	4631204	Geoje14	Korea
GEO020414_8_92bp	5825946	Geoje14	Korea
GEO020414_8_300_92bp	5328677	Geoje14	Korea
GEO020414_9_92bp	3815390	Geoje14	Korea
GEO020414_9_300_92bp	3311770	Geoje14	Korea
GEO020414_10_2_92bp	2970744	Geoje14	Korea
GEO020414_30_2_92bp	1798634	Geoje14	Korea
GEO020414_13_2_92bp	2092010	Geoje14	Korea
